author_id,paper_id,year_citation
26,1,1984
26,7824,1984
26,15509,2000
26,23165,1975
26,23165,1979
26,23165,1981
26,23165,1982
26,25208,2005
26,25510,2000
26,25542,1996
26,25581,2000
26,25643,1996
26,25643,1998
26,25808,1992
26,25852,1988
26,25852,1989
26,25852,1989
26,25852,1990
26,25852,1992
26,25852,1996
26,25852,1998
26,25855,1993
26,25855,2000
26,25892,1996
26,25892,1998
26,25897,1984
26,25930,1984
26,25943,1984
26,25979,1984
26,25986,1987
26,25986,1989
26,26032,1984
26,26032,1985
26,26033,1984
26,26033,2000
26,26074,1983
26,26074,1983
26,26074,1984
26,26074,1984
26,26074,1984
26,26074,1984
26,26074,1985
26,26074,1987
26,26074,1995
26,26087,1984
26,26099,1984
26,26107,1984
26,26124,1987
26,26124,1989
26,26124,1995
26,26124,2001
26,26126,1984
26,26130,1984
26,26132,1990
26,26174,1984
26,26188,1982
26,26188,1984
26,26247,1981
26,26247,1989
26,26252,1984
26,26365,1984
26,26369,1978
26,26369,1984
26,26369,1985
26,26411,1976
26,28720,2005
26,39293,1998
26,39303,1997
26,39303,1998
26,46695,1977
26,46695,1984
26,46695,1995
26,47449,1996
26,47449,1997
26,47449,1998
26,47521,1995
26,47620,1995
26,47620,1997
26,47640,1998
26,47684,1984
26,47688,1984
26,47777,1984
26,47793,1984
26,47814,1981
26,47814,1983
26,47816,1997
26,47855,1979
26,47855,1982
26,47855,1984
26,47855,1993
26,47883,1984
26,47967,1992
26,47967,1993
26,47967,1994
26,48578,2000
26,48722,1998
26,48722,2000
26,48831,2000
26,48982,1998
26,48988,1993
26,48991,1992
26,49019,1995
26,49019,1996
26,49019,1998
26,49058,1990
26,49070,1995
26,55008,2005
26,55012,2004
26,63909,2005
26,64122,1984
26,64124,1981
26,64124,1984
26,64124,1989
26,64124,1995
26,70423,1993
26,70449,1990
26,73499,1996
26,73499,1997
26,73499,2000
26,89533,1989
26,89533,1992
26,89533,1993
26,89563,1984
26,90769,1997
26,90769,1998
26,90825,1998
26,93641,1998
26,98580,1992
26,98580,1995
26,99573,1984
26,110369,1984
26,110369,1992
26,114985,1989
26,115260,1993
26,115286,1992
26,115288,1992
26,115288,1993
26,115302,1992
26,116517,1992
26,116757,1996
26,116799,1996
26,116799,2000
26,116848,2000
26,116856,1996
26,116856,1998
26,116923,2000
26,119752,2005
26,120410,1995
26,120426,1993
26,120437,1989
26,120437,1991
26,120824,1993
26,120829,1993
26,124383,1997
26,124415,2001
26,124415,2003
26,126873,1984
26,131483,1995
26,131743,1992
26,131743,1995
26,131743,2001
26,131749,1992
26,131749,1995
26,136390,1977
26,136480,1984
26,141615,1984
26,142054,1998
26,145253,2005
26,164220,2000
26,164274,1992
26,165390,1988
26,165390,1988
26,165390,1989
26,165390,1989
26,165390,1990
26,165390,1993
26,165396,1984
26,165396,1989
26,166215,2001
26,166244,1987
26,166244,1989
26,166250,1981
26,166250,1983
26,166829,2005
26,171174,2001
26,171174,2003
26,171200,2000
26,171200,2001
26,171200,2003
26,171214,2000
26,172976,1995
26,172996,1995
26,176917,2000
26,176925,1996
26,176925,1997
26,176925,1998
26,176925,2000
26,176931,1997
26,176937,1996
26,176937,1997
26,176937,1998
26,176937,2000
26,176939,1990
26,178685,1997
26,180941,1999
26,180941,1999
26,181772,1993
26,181772,1995
26,181868,1995
26,181959,1992
